source_json,category,filename,status,log
New_Benchmarks\LFR-TestCases\distribute-library\cell_traps_4\cell_traps_4_fromLFR.json,LFR-TestCases/cell_traps_4,cell_traps_4_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260627_185034\distribute-library__cell_traps_4__cell_traps_4_fromLFR.log
New_Benchmarks\LFR-TestCases\distribute-library\hv_storage_grid_04\hv_storage_grid_04_fromLFR.json,LFR-TestCases/hv_storage_grid_04,hv_storage_grid_04_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260627_185034\distribute-library__hv_storage_grid_04__hv_storage_grid_04_fromLFR.log
New_Benchmarks\LFR-TestCases\distribute-library\hv_storage_grid_08\hv_storage_grid_08_fromLFR.json,LFR-TestCases/hv_storage_grid_08,hv_storage_grid_08_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260627_185034\distribute-library__hv_storage_grid_08__hv_storage_grid_08_fromLFR.log
New_Benchmarks\LFR-TestCases\distribute-library\hv_storage_grid_16\hv_storage_grid_16_fromLFR.json,LFR-TestCases/hv_storage_grid_16,hv_storage_grid_16_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260627_185034\distribute-library__hv_storage_grid_16__hv_storage_grid_16_fromLFR.log
New_Benchmarks\LFR-TestCases\distribute-library\hv_storage_grid_32\hv_storage_grid_32_fromLFR.json,LFR-TestCases/hv_storage_grid_32,hv_storage_grid_32_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260627_185034\distribute-library__hv_storage_grid_32__hv_storage_grid_32_fromLFR.log
New_Benchmarks\LFR-TestCases\distribute-library\hv_storage_grid_64\hv_storage_grid_64_fromLFR.json,LFR-TestCases/hv_storage_grid_64,hv_storage_grid_64_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260627_185034\distribute-library__hv_storage_grid_64__hv_storage_grid_64_fromLFR.log
New_Benchmarks\LFR-TestCases\distribute-library\mux_02_in\mux_02_in_fromLFR.json,LFR-TestCases/mux_02_in,mux_02_in_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260627_185034\distribute-library__mux_02_in__mux_02_in_fromLFR.log
New_Benchmarks\LFR-TestCases\distribute-library\mux_02_out\mux_02_out_fromLFR.json,LFR-TestCases/mux_02_out,mux_02_out_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260627_185034\distribute-library__mux_02_out__mux_02_out_fromLFR.log
New_Benchmarks\LFR-TestCases\distribute-library\mux_04_in\mux_04_in_fromLFR.json,LFR-TestCases/mux_04_in,mux_04_in_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260627_185034\distribute-library__mux_04_in__mux_04_in_fromLFR.log
New_Benchmarks\LFR-TestCases\distribute-library\mux_04_out\mux_04_out_fromLFR.json,LFR-TestCases/mux_04_out,mux_04_out_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260627_185034\distribute-library__mux_04_out__mux_04_out_fromLFR.log
