timestamp_iso,input_rel,success,sec_wall_total_s,out_dir
2026-09-14T06:07:55Z,mint/flow_and_control_demo.mint,1,0,./Microfluidics-Benchmarks/Results/Quick_Examples/flow_and_control_demo
2026-09-14T06:07:56Z,mint/flow_only_demo.mint,1,0,./Microfluidics-Benchmarks/Results/Quick_Examples/flow_only_demo
2026-09-14T06:07:56Z,lfr/DIYcomponent.lfr,1,0,./Microfluidics-Benchmarks/Results/Quick_Examples/DIYcomponent
2026-09-14T06:07:57Z,lfr/diy_with_mixer_demo.lfr,1,0,./Microfluidics-Benchmarks/Results/Quick_Examples/diy_with_mixer_demo
2026-09-14T06:07:58Z,lfr/droplet_generator.lfr,1,0,./Microfluidics-Benchmarks/Results/Quick_Examples/droplet_generator
2026-09-14T06:07:59Z,lfr/flow_and_control_demo.lfr,1,0,./Microfluidics-Benchmarks/Results/Quick_Examples/flow_and_control_demo
2026-09-14T06:08:00Z,lfr/flow_only_demo.lfr,1,0,./Microfluidics-Benchmarks/Results/Quick_Examples/flow_only_demo
2026-09-14T06:08:01Z,lfr/import_droplet_reaction.lfr,1,0,./Microfluidics-Benchmarks/Results/Quick_Examples/import_droplet_reaction
2026-09-14T06:08:02Z,lfr/import_mixer_and_incubator.lfr,1,0,./Microfluidics-Benchmarks/Results/Quick_Examples/import_mixer_and_incubator
2026-09-14T06:08:03Z,lfr/import_parallel_premix.lfr,1,0,./Microfluidics-Benchmarks/Results/Quick_Examples/import_parallel_premix
2026-09-14T06:08:03Z,lfr/incubator.lfr,1,0,./Microfluidics-Benchmarks/Results/Quick_Examples/incubator
2026-09-14T06:08:04Z,lfr/mixer_3to1.lfr,1,0,./Microfluidics-Benchmarks/Results/Quick_Examples/mixer_3to1
2026-09-14T06:08:05Z,lfr/mux1to4.lfr,1,0,./Microfluidics-Benchmarks/Results/Quick_Examples/mux1to4
2026-09-14T06:08:06Z,lfr/mux4to1.lfr,1,0,./Microfluidics-Benchmarks/Results/Quick_Examples/mux4to1
2026-09-14T06:08:07Z,lfr/test_DIY_crossing.lfr,1,0,./Microfluidics-Benchmarks/Results/Quick_Examples/test_DIY_crossing
2026-09-14T06:08:08Z,lfr/test_DIY_fork.lfr,1,0,./Microfluidics-Benchmarks/Results/Quick_Examples/test_DIY_fork
2026-09-14T06:08:09Z,lfr/test_device.lfr,1,0,./Microfluidics-Benchmarks/Results/Quick_Examples/test_device
2026-09-14T06:08:10Z,lfr/test_device_MUX4to1.lfr,1,0,./Microfluidics-Benchmarks/Results/Quick_Examples/test_device_MUX4to1
2026-09-14T06:08:11Z,lfr/test_device_two_MUX4to1.lfr,1,0,./Microfluidics-Benchmarks/Results/Quick_Examples/test_device_two_MUX4to1
2026-09-14T06:08:12Z,lfr/three_in_mixer.lfr,1,0,./Microfluidics-Benchmarks/Results/Quick_Examples/three_in_mixer
2026-09-14T06:08:13Z,lfr/two_in_mixer.lfr,1,0,./Microfluidics-Benchmarks/Results/Quick_Examples/two_in_mixer
