source_json,category,filename,status,log
New_Benchmarks\LFR-TestCases\chthesis\grad_cells\grad_cells_fromLFR.json,LFR-TestCases/chthesis/grad_cells,grad_cells_fromLFR,TIMEOUT,Benchmarks\LFR-TestCases\run_logs_20260611_200650\chthesis__grad_cells__grad_cells_fromLFR.log
New_Benchmarks\LFR-TestCases\chthesis\hasty\hasty_fromLFR.json,LFR-TestCases/chthesis/hasty,hasty_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_200650\chthesis__hasty__hasty_fromLFR.log
New_Benchmarks\LFR-TestCases\chthesis\logic04\logic04_fromLFR.json,LFR-TestCases/chthesis/logic04,logic04_fromLFR,FAIL:1,Benchmarks\LFR-TestCases\run_logs_20260611_200650\chthesis__logic04__logic04_fromLFR.log
New_Benchmarks\LFR-TestCases\chthesis\multi_input\multi_input_fromLFR.json,LFR-TestCases/chthesis/multi_input,multi_input_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_200650\chthesis__multi_input__multi_input_fromLFR.log
New_Benchmarks\LFR-TestCases\chthesis\net_mux\net_mux_fromLFR.json,LFR-TestCases/chthesis/net_mux,net_mux_fromLFR,FAIL:1,Benchmarks\LFR-TestCases\run_logs_20260611_200650\chthesis__net_mux__net_mux_fromLFR.log
New_Benchmarks\LFR-TestCases\chthesis\rotary16\rotary16_fromLFR.json,LFR-TestCases/chthesis/rotary16,rotary16_fromLFR,FAIL:1,Benchmarks\LFR-TestCases\run_logs_20260611_200650\chthesis__rotary16__rotary16_fromLFR.log
New_Benchmarks\LFR-TestCases\chthesis\rotary_cells\rotary_cells_fromLFR.json,LFR-TestCases/chthesis/rotary_cells,rotary_cells_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_200650\chthesis__rotary_cells__rotary_cells_fromLFR.log
New_Benchmarks\LFR-TestCases\chthesis\tdroplet\tdroplet_fromLFR.json,LFR-TestCases/chthesis/tdroplet,tdroplet_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_200650\chthesis__tdroplet__tdroplet_fromLFR.log
New_Benchmarks\LFR-TestCases\COVID\AJ_rtpcr_8primer\aj_rtpcr2_fromLFR.json,LFR-TestCases/COVID/AJ_rtpcr_8primer,aj_rtpcr2_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_200650\COVID__AJ_rtpcr_8primer__aj_rtpcr2_fromLFR.log
New_Benchmarks\LFR-TestCases\COVID\ARIZE\expression1_fromLFR.json,LFR-TestCases/COVID/ARIZE,expression1_fromLFR,FAIL:1,Benchmarks\LFR-TestCases\run_logs_20260611_200650\COVID__ARIZE__expression1_fromLFR.log
New_Benchmarks\LFR-TestCases\COVID\covid_crispr\expression1_fromLFR.json,LFR-TestCases/COVID/covid_crispr,expression1_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_200650\COVID__covid_crispr__expression1_fromLFR.log
New_Benchmarks\LFR-TestCases\COVID\CRISPR\crispr_fromLFR.json,LFR-TestCases/COVID/CRISPR,crispr_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_200650\COVID__CRISPR__crispr_fromLFR.log
New_Benchmarks\LFR-TestCases\COVID\DETECTR\detectr_fromLFR.json,LFR-TestCases/COVID/DETECTR,detectr_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_200650\COVID__DETECTR__detectr_fromLFR.log
New_Benchmarks\LFR-TestCases\COVID\electro4\electro4_fromLFR.json,LFR-TestCases/COVID/electro4,electro4_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_200650\COVID__electro4__electro4_fromLFR.log
New_Benchmarks\LFR-TestCases\COVID\ELISALFR\expression1_fromLFR.json,LFR-TestCases/COVID/ELISALFR,expression1_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_200650\COVID__ELISALFR__expression1_fromLFR.log
New_Benchmarks\LFR-TestCases\COVID\hybri_detect\hybri_detect_fromLFR.json,LFR-TestCases/COVID/hybri_detect,hybri_detect_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_200650\COVID__hybri_detect__hybri_detect_fromLFR.log
New_Benchmarks\LFR-TestCases\COVID\part1_rna\part1_rna_fromLFR.json,LFR-TestCases/COVID/part1_rna,part1_rna_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_200650\COVID__part1_rna__part1_rna_fromLFR.log
New_Benchmarks\LFR-TestCases\COVID\part2_lfr\part2_rt_fromLFR.json,LFR-TestCases/COVID/part2_lfr,part2_rt_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_200650\COVID__part2_lfr__part2_rt_fromLFR.log
New_Benchmarks\LFR-TestCases\COVID\part3_gel\part3_gel_fromLFR.json,LFR-TestCases/COVID/part3_gel,part3_gel_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_200650\COVID__part3_gel__part3_gel_fromLFR.log
New_Benchmarks\LFR-TestCases\COVID\rt_pcr\pcr_fromLFR.json,LFR-TestCases/COVID/rt_pcr,pcr_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_200650\COVID__rt_pcr__pcr_fromLFR.log
New_Benchmarks\LFR-TestCases\distribute-expressions\and_annotation_test\and_annotation_test_fromLFR.json,LFR-TestCases/distribute-expressions/and_annotation_test,and_annotation_test_fromLFR,OK,Benchmarks\LFR-TestCases\run_logs_20260611_200650\distribute-expressions__and_annotation_test__and_annotation_test_fromLFR.log
