Format,Benchmark Name,Input Lines,Num Components (layout),Flow-layer Components,Control-layer Components,Area Score,Connection Length Score,Position Score,Symmetry Score,Bend Score,Overall Score
LFR,AJ_rtpcr_8primer,23,,,,,,,,,
LFR,ARIZE,25,,,,,,,,,
LFR,CRISPR,16,,,,,,,,,
LFR,DETECTR,19,,,,,,,,,
LFR,ELISALFR,12,,,,,,,,,
LFR,covid_crispr,14,,,,,,,,,
LFR,electro4,28,,,,,,,,,
LFR,hybri_detect,18,,,,,,,,,
LFR,part1_rna,28,,,,,,,,,
LFR,part2_lfr,27,,,,,,,,,
LFR,part3_gel,16,,,,,,,,,
LFR,rt_pcr,31,,,,,,,,,
LFR,expression1,10,,,,,,,,,
LFR,expression10,11,,,,,,,,,
LFR,expression11,9,,,,,,,,,
LFR,expression12,9,,,,,,,,,
LFR,expression13,11,,,,,,,,,
LFR,expression14,6,,,,,,,,,
LFR,expression15,9,,,,,,,,,
LFR,expression2,9,,,,,,,,,
LFR,expression3,9,,,,,,,,,
LFR,expression4,9,,,,,,,,,
LFR,expression5,9,,,,,,,,,
LFR,expression6,10,,,,,,,,,
LFR,expression7,10,,,,,,,,,
LFR,expression8,11,,,,,,,,,
LFR,expression9,9,,,,,,,,,
LFR,cycle,23,,,,,,,,,
LFR,n_g_m_map,16,,,,,,,,,
LFR,n_l_m_map,16,,,,,,,,,
LFR,one_to_one,16,,,,,,,,,
LFR,tree_bus,17,,,,,,,,,
LFR,tree_fanin,11,,,,,,,,,
LFR,tree_fanout,11,,,,,,,,,
LFR,declarations,7,,,,,,,,,
LFR,pumpstat,13,,,,,,,,,
LFR,cell_lysis,21,,,,,,,,,
LFR,cell_sorting,10,,,,,,,,,
LFR,dna_digest,24,,,,,,,,,
LFR,fluorescence,16,,,,,,,,,
LFR,ligation,18,,,,,,,,,
LFR,pcr,11,,,,,,,,,
LFR,transformation,20,,,,,,,,,
LFR,directed_evolution,51,,,,,,,,,
LFR,MFD005chip,41,,,,,,,,,
LFR,chemostat_chip,32,,,,,,,,,
LFR,dnasynthesizer,79,,,,,,,,,
LFR,genetic_clock_testing_tool,27,,,,,,,,,
LFR,glycoform,21,,,,,,,,,
LFR,gradient,18,,,,,,,,,
LFR,incubator,97,,,,,,,,,
LFR,inlet16,46,,,,,,,,,
LFR,kinetics,9,,,,,,,,,
LFR,microalgal_bioassay,22,,,,,,,,,
LFR,microdroplet,36,,,,,,,,,
LFR,microreactor,25,,,,,,,,,
LFR,mux96chambers,30,,,,,,,,,
LFR,nine_to_one_mux,25,,,,,,,,,
LFR,olfactory,28,,,,,,,,,
LFR,pre_processor_dump,57,,,,,,,,,
LFR,rootchip,76,,,,,,,,,
LFR,seeding,120,,,,,,,,,
LFR,cycle,23,,,,,,,,,
LFR,instance_mapping,37,,,,,,,,,
LFR,n_g_m_map,18,,,,,,,,,
LFR,n_l_m_map,18,,,,,,,,,
LFR,one_to_one_mapping,18,,,,,,,,,
LFR,tree_bus,19,,,,,,,,,
LFR,tree_fanin_mapping,11,,,,,,,,,
LFR,tree_fanout_mapping,12,,,,,,,,,
