timestamp_iso,benchmark_label,input_mint_rel,mint_file_stem,success,overall_score,sec_mint_to_unplaced_json_s,sec_unplaced_json_to_pr_s,sec_wall_total_s,pr_json_path
2026-07-22T23:44:43+00:00,COVID/AJ_rtpcr_8primer.mint,COVID/AJ_rtpcr_8primer.mint,AJ_rtpcr_8primer,1,0.456710,0.420823,0.005646,0.426469,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/MINT-TestCases/COVID/AJ_rtpcr_8primer/AJ_rtpcr_8primer_fromMINT_PR.json
2026-07-22T23:44:44+00:00,COVID/ARIZE.mint,COVID/ARIZE.mint,ARIZE,1,0.522470,0.303050,0.006172,0.309222,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/MINT-TestCases/COVID/ARIZE/ARIZE_fromMINT_PR.json
2026-07-22T23:44:45+00:00,COVID/CRISPR.mint,COVID/CRISPR.mint,CRISPR,1,0.430746,0.155404,0.002206,0.157610,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/MINT-TestCases/COVID/CRISPR/CRISPR_fromMINT_PR.json
2026-07-22T23:44:47+00:00,COVID/DETECTR.mint,COVID/DETECTR.mint,DETECTR,1,0.431531,0.220813,0.004215,0.225029,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/MINT-TestCases/COVID/DETECTR/DETECTR_fromMINT_PR.json
2026-07-22T23:44:48+00:00,COVID/ELISALFR.mint,COVID/ELISALFR.mint,ELISALFR,1,0.415646,0.116784,0.001706,0.118490,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/MINT-TestCases/COVID/ELISALFR/ELISALFR_fromMINT_PR.json
2026-07-22T23:44:49+00:00,COVID/covid_crispr.mint,COVID/covid_crispr.mint,covid_crispr,1,0.493821,0.092642,0.001387,0.094029,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/MINT-TestCases/COVID/covid_crispr/covid_crispr_fromMINT_PR.json
2026-07-22T23:44:50+00:00,COVID/electro4.mint,COVID/electro4.mint,electro4,1,0.424997,0.217094,0.003449,0.220543,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/MINT-TestCases/COVID/electro4/electro4_fromMINT_PR.json
2026-07-22T23:44:51+00:00,COVID/hybri_detect.mint,COVID/hybri_detect.mint,hybri_detect,1,0.523674,0.143692,0.002244,0.145936,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/MINT-TestCases/COVID/hybri_detect/hybri_detect_fromMINT_PR.json
2026-07-22T23:44:52+00:00,COVID/part1_rna.mint,COVID/part1_rna.mint,part1_rna,1,0.477870,0.143484,0.002211,0.145695,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/MINT-TestCases/COVID/part1_rna/part1_rna_fromMINT_PR.json
2026-07-22T23:44:53+00:00,COVID/part2_lfr.mint,COVID/part2_lfr.mint,part2_lfr,1,0.455397,0.122176,0.001801,0.123977,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/MINT-TestCases/COVID/part2_lfr/part2_lfr_fromMINT_PR.json
2026-07-22T23:44:55+00:00,COVID/part3_gel.mint,COVID/part3_gel.mint,part3_gel,1,0.379862,0.115790,0.001463,0.117253,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/MINT-TestCases/COVID/part3_gel/part3_gel_fromMINT_PR.json
2026-07-22T23:44:56+00:00,COVID/rt_pcr.mint,COVID/rt_pcr.mint,rt_pcr,1,0.481436,0.103293,0.001826,0.105119,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/MINT-TestCases/COVID/rt_pcr/rt_pcr_fromMINT_PR.json
2026-07-22T23:44:57+00:00,Expressions/expression1.mint,Expressions/expression1.mint,expression1,1,0.418068,0.143766,0.001860,0.145626,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/MINT-TestCases/Expressions/expression1/expression1_fromMINT_PR.json
2026-07-22T23:44:58+00:00,Expressions/expression10.mint,Expressions/expression10.mint,expression10,1,0.463120,0.129696,0.002108,0.131804,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/MINT-TestCases/Expressions/expression10/expression10_fromMINT_PR.json
2026-07-22T23:44:59+00:00,Expressions/expression11.mint,Expressions/expression11.mint,expression11,1,0.493821,0.091843,0.001226,0.093068,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/MINT-TestCases/Expressions/expression11/expression11_fromMINT_PR.json
2026-07-22T23:45:00+00:00,Expressions/expression12.mint,Expressions/expression12.mint,expression12,1,0.512044,0.221364,0.003841,0.225205,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/MINT-TestCases/Expressions/expression12/expression12_fromMINT_PR.json
2026-07-22T23:45:01+00:00,Expressions/expression13.mint,Expressions/expression13.mint,expression13,1,0.459558,0.101031,0.001265,0.102296,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/MINT-TestCases/Expressions/expression13/expression13_fromMINT_PR.json
2026-07-22T23:45:03+00:00,Expressions/expression14.mint,Expressions/expression14.mint,expression14,1,0.465835,0.358065,0.006265,0.364331,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/MINT-TestCases/Expressions/expression14/expression14_fromMINT_PR.json
2026-07-22T23:45:04+00:00,Expressions/expression15.mint,Expressions/expression15.mint,expression15,1,0.553203,0.211180,0.003336,0.214517,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/MINT-TestCases/Expressions/expression15/expression15_fromMINT_PR.json
2026-07-22T23:45:05+00:00,Expressions/expression2.mint,Expressions/expression2.mint,expression2,1,0.484277,0.122754,0.001687,0.124441,/home/cidar-ron/Downloads/Neptune_2026/Microfluidics-Benchmarks/Results/MINT-TestCases/Expressions/expression2/expression2_fromMINT_PR.json
