"source_json","category","filename","status","log"
"flow_and_control_demo/flow_and_control_demo_fromLFR.json","Quick_Examples/flow_and_control_demo","flow_and_control_demo_fromLFR","OK","Benchmarks\Quick_Examples\run_logs_all_20260813_160850\001__flow_and_control_demo__flow_and_control_demo_fromLFR.log"
"flow_and_control_demo/flow_and_control_demo_fromMINT.json","Quick_Examples/flow_and_control_demo","flow_and_control_demo_fromMINT","OK","supplemental rerun after MINT controlport inference fix"
"flow_only_demo/flow_only_demo_fromLFR.json","Quick_Examples/flow_only_demo","flow_only_demo_fromLFR","OK","Benchmarks\Quick_Examples\run_logs_all_20260813_160850\003__flow_only_demo__flow_only_demo_fromLFR.log"
"import_droplet_reaction/import_droplet_reaction_fromLFR.json","Quick_Examples/import_droplet_reaction","import_droplet_reaction_fromLFR","OK","Benchmarks\Quick_Examples\run_logs_all_20260813_160850\004__import_droplet_reaction__import_droplet_reaction_fromLFR.log"
"import_mixer_and_incubator/import_mixer_and_incubator_fromLFR.json","Quick_Examples/import_mixer_and_incubator","import_mixer_and_incubator_fromLFR","OK","Benchmarks\Quick_Examples\run_logs_all_20260813_160850\005__import_mixer_and_incubator__import_mixer_and_incubator_fromLFR.log"
"import_parallel_premix/import_parallel_premix_fromLFR.json","Quick_Examples/import_parallel_premix","import_parallel_premix_fromLFR","OK","Benchmarks\Quick_Examples\run_logs_all_20260813_160850\006__import_parallel_premix__import_parallel_premix_fromLFR.log"
"mixer_3to1/mixer_3to1_fromLFR.json","Quick_Examples/mixer_3to1","mixer_3to1_fromLFR","OK","Benchmarks\Quick_Examples\run_logs_all_20260813_160850\007__mixer_3to1__mixer_3to1_fromLFR.log"
"prompt_test/Results/claude/round1/dx2/dx2_fromLFR.json","Quick_Examples/prompt_test/Results/claude/round1/dx2","dx2_fromLFR","OK","Benchmarks\Quick_Examples\run_logs_all_20260813_160850\008__prompt_test__Results__claude__round1__dx2__dx2_fromLFR.log"
"prompt_test/Results/claude/round1/dx3/dx3_fromLFR.json","Quick_Examples/prompt_test/Results/claude/round1/dx3","dx3_fromLFR","OK","Benchmarks\Quick_Examples\run_logs_all_20260813_160850\009__prompt_test__Results__claude__round1__dx3__dx3_fromLFR.log"
"prompt_test/Results/claude/round1/flow_only_demo/flow_only_demo_fromLFR.json","Quick_Examples/prompt_test/Results/claude/round1/flow_only_demo","flow_only_demo_fromLFR","OK","Benchmarks\Quick_Examples\run_logs_all_20260813_160850\010__prompt_test__Results__claude__round1__flow_only_demo__flow_only_demo_fromLFR.log"
"prompt_test/Results/claude/round1/mixer_3to1/mixer_3to1_fromLFR.json","Quick_Examples/prompt_test/Results/claude/round1/mixer_3to1","mixer_3to1_fromLFR","OK","Benchmarks\Quick_Examples\run_logs_all_20260813_160850\011__prompt_test__Results__claude__round1__mixer_3to1__mixer_3to1_fromLFR.log"
"prompt_test/Results/claude/round2/dx2/dx2_fromLFR.json","Quick_Examples/prompt_test/Results/claude/round2/dx2","dx2_fromLFR","OK","Benchmarks\Quick_Examples\run_logs_all_20260813_160850\012__prompt_test__Results__claude__round2__dx2__dx2_fromLFR.log"
"prompt_test/Results/claude/round2/dx3/dx3_fromLFR.json","Quick_Examples/prompt_test/Results/claude/round2/dx3","dx3_fromLFR","OK","Benchmarks\Quick_Examples\run_logs_all_20260813_160850\013__prompt_test__Results__claude__round2__dx3__dx3_fromLFR.log"
"prompt_test/Results/claude/round2/flow_only_demo/flow_only_demo_fromLFR.json","Quick_Examples/prompt_test/Results/claude/round2/flow_only_demo","flow_only_demo_fromLFR","OK","Benchmarks\Quick_Examples\run_logs_all_20260813_160850\014__prompt_test__Results__claude__round2__flow_only_demo__flow_only_demo_fromLFR.log"
